Day,DayNumber,Month,High Temp (°F),Low Temp (°F),Clean Precipitation,,,,,
Saturday,1,4,46,37,0,,,,,
Sunday,2,4,62.1,41,0,,,,,
Monday,3,4,63,50,0.03,,,,,
Tuesday,4,4,51.1,46,1.18,,,,,
Wednesday,5,4,63,46,0,,,,,
Thursday,6,4,48.9,41,0.73,,,,,
Friday,7,4,48,43,0.01,,,,,
Saturday,1,4,55.9,39.9,0,,,,,
Sunday,2,4,66,45,0,,,,,
Monday,3,4,73.9,55,0,,,,,
Tuesday,4,4,80.1,62.1,0,,,,,
Wednesday,5,4,73.9,57.9,0.02,,,,,
Thursday,6,4,64,48.9,0,,,,,
Friday,7,4,64.9,48.9,0,,,,,
Saturday,1,4,64.9,52,0,,,,,
Sunday,2,4,84.9,62.1,0.01,,,,,
Monday,3,4,73.9,64,0.01,,,,,
Tuesday,4,4,66,50,0,,,,,
Wednesday,5,4,52,45,0.01,,,,,
Thursday,6,4,64.9,50,0.17,,,,,
Friday,7,4,53.1,48,0.29,,,,,
Saturday,1,4,55.9,52,0.11,,,,,
Sunday,2,4,64.9,46.9,0,,,,,
Monday,3,4,60.1,50,0.01,,,,,
Tuesday,4,4,54,50,0.91,,,,,
Wednesday,5,4,59,54,0.34,,,,,
Thursday,6,4,68,59,0,,,,,
Friday,7,4,82.9,57.9,0,,,,,
Saturday,1,4,84,64,0.06,,,,,
Sunday,2,4,64,54,0,,,,,
Monday,3,5,72,50,0,,,,,
Tuesday,4,5,73.9,66.9,0,,,,,
Wednesday,5,5,64.9,57.9,0,,,,,
Thursday,6,5,63,50,0,,,,,
Friday,7,5,59,52,3.02,,,,,
Saturday,1,5,64.9,57,0.18,,,,,
Sunday,2,5,54,48.9,0.01,,,,,
Monday,3,5,57,45,0,,,,,
Tuesday,4,5,61,48,0,,,,,
Wednesday,5,5,70,51.1,0,,,,,
Thursday,6,5,61,51.8,0,,,,,
Friday,7,5,62.1,51.1,0,,,,,
Saturday,1,5,51.1,45,1.31,,,,,
Sunday,2,5,64.9,46,0.02,,,,,
Monday,3,5,66.9,55.9,0,,,,,
Tuesday,4,5,78.1,57.9,0,,,,,
Wednesday,5,5,90,66,0,,,,,
Thursday,6,5,91.9,75,0,,,,,
Friday,7,5,90,75.9,0,,,,,
Saturday,1,5,64,55.9,0.01,,,,,
Sunday,2,5,66.9,55,0,,,,,
Monday,3,5,61,54,0.59,,,,,
Tuesday,4,5,68,57.9,0,,,,,
Wednesday,5,5,66.9,57,0.04,,,,,
Thursday,6,5,57.9,55.9,0.58,,,,,
Friday,7,5,73,55.9,0.1,,,,,
Saturday,1,5,71.1,61,0,,,,,
Sunday,2,5,71.1,59,0,,,,,
Monday,3,5,57.9,55.9,0.13,,,,,
Tuesday,4,5,59,55.9,0.06,,,,,
Wednesday,5,5,75,57.9,0.03,,,,,
Thursday,6,6,78.1,62.1,0,,,,,
Friday,7,6,73.9,60.1,0.01,,,,,
Saturday,1,6,72,55,0.01,,,,,
Sunday,2,6,68,60.1,0.09,,,,,
Monday,3,6,66.9,60.1,0.02,,,,,
Tuesday,4,6,55.9,53.1,0.06,,,,,
Wednesday,5,6,66.9,54,0,,,,,
Thursday,6,6,68,59,0,,,,,
Friday,7,6,80.1,59,0,,,,,
Saturday,1,6,84,68,0,,,,,
Sunday,2,6,90,73,0,,,,,
Monday,3,6,91.9,77,0,,,,,
Tuesday,4,6,93.9,78.1,0.01,,,,,
Wednesday,5,6,84,69.1,0.29,,,,,
Thursday,6,6,75,66,0,,,,,
Friday,7,6,68,66,0,,,,,
Saturday,1,6,73,66.9,1.39,,,,,
Sunday,2,6,84,72,0.01,,,,,
Monday,3,6,87.1,70,1.35,,,,,
Tuesday,4,6,82,72,0.03,,,,,
Wednesday,5,6,82,72,0,,,,,
Thursday,6,6,82,70,0,,,,,
Friday,7,6,82.9,75.9,0.04,,,,,
Saturday,1,6,82.9,71.1,1.29,,,,,
Sunday,2,6,82,69.1,0,,,,,
Monday,3,6,78.1,66,0,,,,,
Tuesday,4,6,75.9,61,0.18,,,,,
Wednesday,5,6,78.1,62.1,0,,,,,
Thursday,6,6,81,68,0,,,,,
Friday,7,6,88,73.9,0.01,,,,,
Saturday,1,7,84.9,72,0.23,,,,,
Sunday,2,7,87.1,73,0,,,,,
Monday,3,7,87.1,71.1,0.45,,,,,
Tuesday,4,7,82.9,70,0,,,,,
Wednesday,5,7,84.9,71.1,0,,,,,
Thursday,6,7,75,71.1,0.01,,,,,
Friday,7,7,79,68,1.78,,,,,
Saturday,1,7,82.9,70,0,,,,,
Sunday,2,7,81,69.1,0,,,,,
Monday,3,7,82.9,71.1,0,,,,,
Tuesday,4,7,84,75,0,,,,,
Wednesday,5,7,87.1,77,0,,,,,
Thursday,6,7,89.1,77,0,,,,,
Friday,7,7,69.1,64.9,0.35,,,,,
Saturday,1,7,82.9,68,0,,,,,
Sunday,2,7,84.9,70,0,,,,,
Monday,3,7,84.9,73.9,0,,,,,
Tuesday,4,7,87.1,75.9,0,,,,,
Wednesday,5,7,91,77,0,,,,,
Thursday,6,7,93,78.1,0.01,,,,,
Friday,7,7,91,77,0,,,,,
Saturday,1,7,91,78.1,0.57,,,,,
Sunday,2,7,78.1,73,0.06,,,,,
Monday,3,7,69.1,63,0.74,,,,,
Tuesday,4,7,71.1,64,0,,,,,
Wednesday,5,7,75.9,66,0,,,,,
Thursday,6,7,77,66.9,0.01,,,,,
Friday,7,7,84.9,73,0,,,,,
Saturday,1,7,75.9,68,0,,,,,
Sunday,2,7,81,64.9,0,,,,,
Monday,3,7,88,66.9,0,,,,,
Tuesday,4,8,91,72,0,,,,,
Wednesday,5,8,86,69.1,0.09,,,,,
Thursday,6,8,86,70,0,,,,,
Friday,7,8,82.9,70,0.15,,,,,
Saturday,1,8,77,70,0.3,,,,,
Sunday,2,8,75.9,64,0,,,,,
Monday,3,8,71.1,64.9,0.76,,,,,
Tuesday,4,8,77,66,0,,,,,
Wednesday,5,8,82.9,66,0,,,,,
Thursday,6,8,82.9,69.1,0,,,,,
Friday,7,8,81,70,0.01,,,,,
Saturday,1,8,75.9,64.9,0.11,,,,,
Sunday,2,8,82,71.1,0,,,,,
Monday,3,8,80.1,70,0,,,,,
Tuesday,4,8,73,69.1,0.45,,,,,
Wednesday,5,8,84.9,70,0,,,,,
Thursday,6,8,82,71.1,0,,,,,
Friday,7,8,81,73,0.88,,,,,
Saturday,1,8,84.9,73,0,,,,,
Sunday,2,8,81,70,0,,,,,
Monday,3,8,84.9,73,0,,,,,
Tuesday,4,8,88,75,0.3,,,,,
Wednesday,5,8,80.1,71.1,0.01,,,,,
Thursday,6,8,79,66,0,,,,,
Friday,7,8,78.1,64,0,,,,,
Saturday,1,8,77,62.1,0,,,,,
Sunday,2,8,77,63,0,,,,,
Monday,3,8,75,63,0,,,,,
Tuesday,4,8,68,62.1,0.1,,,,,
Wednesday,5,8,75.9,61,0.01,,,,,
Thursday,6,8,81,64,0,,,,,
Friday,7,9,70,55,0,,,,,
Saturday,1,9,66.9,54,0.53,,,,,
Sunday,2,9,69.1,60.1,0.74,,,,,
Monday,3,9,79,62.1,0,,,,,
Tuesday,4,9,84,70,0.01,,,,,
Wednesday,5,9,70,62.1,0.42,,,,,
Thursday,6,9,71.1,59,0.01,,,,,
Friday,7,9,70,59,0,,,,,
Saturday,1,9,69.1,55,0,,,,,
Sunday,2,9,72,57,0,,,,,
Monday,3,9,75.9,55,0,,,,,
Tuesday,4,9,78.1,61,0,,,,,
Wednesday,5,9,82,64.9,0.06,,,,,
Thursday,6,9,81,70,0.02,,,,,
Friday,7,9,81,66.9,0,,,,,
Saturday,1,9,82,70,0,,,,,
Sunday,2,9,80.1,70,0,,,,,
Monday,3,9,73,69.1,0,,,,,
Tuesday,4,9,78.1,69.1,0.22,,,,,
Wednesday,5,9,78.1,71.1,0,,,,,
Thursday,6,9,80.1,71.1,0,,,,,
Friday,7,9,82,66,0,,,,,
Saturday,1,9,86,68,0,,,,,
Sunday,2,9,90,69.1,0,,,,,
Monday,3,9,87.1,72,0,,,,,
Tuesday,4,9,82,69.1,0,,,,,
Wednesday,5,9,84.9,71.1,0,,,,,
Thursday,6,9,78.1,66,0,,,,,
Friday,7,9,66.9,55,0,,,,,
Saturday,1,9,64,55.9,0,,,,,
Sunday,2,10,66.9,50,0,,,,,
Monday,3,10,72,52,0,,,,,
Tuesday,4,10,70,57,0,,,,,
Wednesday,5,10,75,55.9,0,,,,,
Thursday,6,10,82,64.9,0,,,,,
Friday,7,10,81,69.1,0,,,,,
Saturday,1,10,80.1,66,0,,,,,
Sunday,2,10,77,72,0.22,,,,,
Monday,3,10,75.9,72,0.26,,,,,
Tuesday,4,10,80.1,66,0,,,,,
Wednesday,5,10,75,64.9,0.06,,,,,
Thursday,6,10,63,55.9,0.07,,,,,
Friday,7,10,64.9,52,0,,,,,
Saturday,1,10,71.1,62.1,0.08,,,,,
Sunday,2,10,72,66,0.01,,,,,
Monday,3,10,60.1,52,0.01,,,,,
Tuesday,4,10,57.9,43,0,,,,,
Wednesday,5,10,71.1,50,0,,,,,
Thursday,6,10,70,55.9,0,,,,,
Friday,7,10,73,57.9,0,,,,,
Saturday,1,10,78.1,57,0,,,,,
Sunday,2,10,75.9,57,0,,,,,
Monday,3,10,73.9,64,0,,,,,
Tuesday,4,10,73,66.9,0.2,,,,,
Wednesday,5,10,64.9,57.9,0,,,,,
Thursday,6,10,57,53.1,0,,,,,
Friday,7,10,62.1,48,0,,,,,
Saturday,1,10,68,55.9,0,,,,,
Sunday,2,10,64.9,61,3.03,,,,,
Monday,3,10,55,46,0.25,,,,,
Tuesday,4,10,54,44,0,,,,,